category,text,text_final
navigate,Car I'm desiring to do some shopping: which one is it the nearest shopping center? Anything within 4 miles?,"['car', ""'m"", 'desire', 'shop', ':', 'one', 'nearest', 'shop', 'center', 'anything', 'within', '4', 'miles']"
schedule,I need to schedule Yoga with Martha. ,"['need', 'schedule', 'yoga', 'martha', '.']"
navigate,"Car I need to get home, it should be near me, please highlight its position on the map","['car', 'need', 'get', 'home', 'near', 'please', 'highlight', 'position', 'map']"
schedule,Set a reminder for tennis on August 3rd at 11am with my aunt,"['set', 'reminder', 'tennis', 'august', '3rd', '11am', 'aunt']"
navigate,"Give me the address and directions by the route with no traffic to home, please. ","['give', 'address', 'directions', 'route', 'traffic', 'home', 'please', '.']"
navigate,Where is a parking garage without heavy traffic?,"['where', 'park', 'garage', 'without', 'heavy', 'traffic']"
schedule,make an appointment for me to get my laboratory results later this week,"['make', 'appointment', 'get', 'laboratory', 'result', 'later', 'week']"
schedule,Tell me about my lab appointment,"['tell', 'lab', 'appointment']"
schedule,what time is my lab appointment for,"['time', 'lab', 'appointment']"
weather,show me this week's forecast,"['show', 'week', ""'s"", 'forecast']"
weather,what is the forecast for the city this week,"['forecast', 'city', 'week']"
weather,Will it be overcast in Cleveland on Sunday?,"['overcast', 'cleveland', 'sunday']"
navigate,where are the nearest coffee shops,"['where', 'nearest', 'coffee', 'shop']"
schedule,What is the date and time for my scheduled dinner this week with Sue.,"['date', 'time', 'schedule', 'dinner', 'week', 'sue', '.']"
navigate,navigate to my friend's home please,"['navigate', 'friend', ""'s"", 'home', 'please']"
schedule,when is my next conference,"['when', 'next', 'conference']"
schedule,schedule my eye doctor appointment,"['schedule', 'eye', 'doctor', 'appointment']"
navigate,take me to the nearest shopping center,"['take', 'nearest', 'shop', 'center']"
weather,tell me what the temperature will be like for the next week,"['tell', 'temperature', 'like', 'next', 'week']"
schedule,schedule meeting,"['schedule', 'meet']"
schedule,what time is my appointment today,"['time', 'appointment', 'today']"
weather,please tell me the weather for today and what the weather will be tomorrow,"['please', 'tell', 'weather', 'today', 'weather', 'tomorrow']"
schedule,Schedule a dentist appointment for tomorrow at 2pm. Marie is coming along,"['schedule', 'dentist', 'appointment', 'tomorrow', '2pm', '.', 'marie', 'come', 'along']"
schedule,Set an optometrist appointment for Saturday. ,"['set', 'optometrist', 'appointment', 'saturday', '.']"
schedule,tell me when my dentist appointment is,"['tell', 'when', 'dentist', 'appointment']"
navigate,Can you find me a coffee place near me?,"['find', 'coffee', 'place', 'near']"
weather,is the weather cloudy right now,"['weather', 'cloudy', 'right']"
navigate,Any chinese restaurant around me?,"['chinese', 'restaurant', 'around']"
navigate,Where can I get tea?,"['where', 'get', 'tea']"
navigate,take me to the nearest hotel,"['take', 'nearest', 'hotel']"
weather,is it going to be cloudy in the next 7 days,"['go', 'cloudy', 'next', '7', 'days']"
schedule,Who is attending my swimming activity and when is it?,"['who', 'attend', 'swim', 'activity', 'when']"
weather,check forecast for today and tomorrow,"['check', 'forecast', 'today', 'tomorrow']"
schedule,schedule a meeting for monday the 1st,"['schedule', 'meet', 'monday', '1st']"
navigate,Car my friends' house should be in the area: do you see it on your map?,"['car', 'friends', ""'"", 'house', 'area', ':', 'see', 'map']"
weather,what's the weekly forecast,"[""'s"", 'weekly', 'forecast']"
schedule,"What is the time and agenda for my meeting, and who is attending?","['time', 'agenda', 'meet', 'who', 'attend']"
navigate,Quickest route to home please.,"['quickest', 'route', 'home', 'please', '.']"
schedule,Who is going to play tennis with me? ,"['who', 'go', 'play', 'tennis']"
schedule,what's on the agenda for today's meeting,"[""'s"", 'agenda', 'today', ""'s"", 'meet']"
weather,what's the weather like this week,"[""'s"", 'weather', 'like', 'week']"
schedule,What day and time is tennis?,"['day', 'time', 'tennis']"
schedule,"What is the date, time, and agenda for my next conference? ","['date', 'time', 'agenda', 'next', 'conference']"
schedule,Schedule a 6 pm meeting with my boss to go over the quarterly report on Tuesday.,"['schedule', '6', 'pm', 'meet', 'boss', 'go', 'quarterly', 'report', 'tuesday', '.']"
navigate,Where is the nearest chinese restaurant?,"['where', 'nearest', 'chinese', 'restaurant']"
navigate,I need to get groceries.,"['need', 'get', 'groceries', '.']"
weather,what is the weather like in boston,"['weather', 'like', 'boston']"
weather,what is the weather like in new york city,"['weather', 'like', 'new', 'york', 'city']"
weather,what's the forecast for the city this week,"[""'s"", 'forecast', 'city', 'week']"
schedule,"Hello car, can you schedule a conference for 4pm, this month on the 11th with HR?","['hello', 'car', 'schedule', 'conference', '4pm', 'month', '11th', 'hr']"
schedule,"Set a reminder for a lab appointment at 6 pm on Sunday, August 8th with sister. ","['set', 'reminder', 'lab', 'appointment', '6', 'pm', 'sunday', 'august', '8th', 'sister', '.']"
schedule,What is the date and time of my doctor appointment?,"['date', 'time', 'doctor', 'appointment']"
navigate,Address to the gas station ,"['address', 'gas', 'station']"
navigate,Where are the pizza places around here?,"['where', 'pizza', 'place', 'around']"
weather,what is the weather for next week,"['weather', 'next', 'week']"
weather,Find out if it will be cloudy on Monday in Cleveland.,"['find', 'cloudy', 'monday', 'cleveland', '.']"
navigate,find me a nearby shopping mall shopping center,"['find', 'nearby', 'shop', 'mall', 'shop', 'center']"
navigate,Car I want to do some shopping in some local shopping center: is there any nearby?,"['car', 'want', 'shop', 'local', 'shop', 'center', ':', 'nearby']"
schedule,Schedule a meeting on the 2nd at 3 pm with the infrastructure team to go over quarterly reports. ,"['schedule', 'meet', '2nd', '3', 'pm', 'infrastructure', 'team', 'go', 'quarterly', 'report', '.']"
weather,Will it be misty in compton the next seven days?,"['misty', 'compton', 'next', 'seven', 'days']"
schedule,What is the date of my lab appointment and who will be attending it?,"['date', 'lab', 'appointment', 'who', 'attend']"
weather,what's the weather like this week,"[""'s"", 'weather', 'like', 'week']"
schedule,What time is my next dinner and who will be attending it?,"['time', 'next', 'dinner', 'who', 'attend']"
schedule,i need to make an appointment to get lab testing done on a certain date,"['need', 'make', 'appointment', 'get', 'lab', 'test', 'certain', 'date']"
navigate,Car please show me my home in the map and pick a route with no traffic,"['car', 'please', 'show', 'home', 'map', 'pick', 'route', 'traffic']"
navigate,"Car I need to get to some rest stop, I'm tired, please find something in the local area","['car', 'need', 'get', 'rest', 'stop', ""'m"", 'tire', 'please', 'find', 'something', 'local', 'area']"
weather,What is the forecast for Seattle for the next 48 hours?,"['forecast', 'seattle', 'next', '48', 'hours']"
weather,is there any rain in the local forecast,"['rain', 'local', 'forecast']"
schedule,Set a reminder for a lab appointment on the 13th at 4PM with Jeff.,"['set', 'reminder', 'lab', 'appointment', '13th', '4pm', 'jeff', '.']"
schedule,Find out the parties attending and the time for my soonest lab appointment. ,"['find', 'party', 'attend', 'time', 'soonest', 'lab', 'appointment', '.']"
navigate,Where is the closest rest stop?,"['where', 'closest', 'rest', 'stop']"
navigate,"Car I need to get to my friends house, it should be around here: could you please show on the map the fastest road to get there?","['car', 'need', 'get', 'friends', 'house', 'around', ':', 'could', 'please', 'show', 'map', 'fastest', 'road', 'get']"
weather,check the weather for the 7 day forecast,"['check', 'weather', '7', 'day', 'forecast']"
navigate,take me to the closest whole foods place i can buy groceries,"['take', 'closest', 'whole', 'foods', 'place', 'buy', 'groceries']"
schedule,find out what time my eye doctor appointment is,"['find', 'time', 'eye', 'doctor', 'appointment']"
navigate,Where is home ,"['where', 'home']"
navigate,can you please take me to a coffee house,"['please', 'take', 'coffee', 'house']"
weather,what is the weather going to be like tomorrow show me the 7 day forecast,"['weather', 'go', 'like', 'tomorrow', 'show', '7', 'day', 'forecast']"
schedule,check to see if i have any meetings or conferences in the near future,"['check', 'see', 'meet', 'conferences', 'near', 'future']"
schedule,remind me to watch the football game on the 1st,"['remind', 'watch', 'football', 'game', '1st']"
schedule,When is the next yoga lesson and who is coming with me?,"['when', 'next', 'yoga', 'lesson', 'who', 'come']"
navigate,I need a rest stop.,"['need', 'rest', 'stop', '.']"
navigate,"Car I need to go back home, it's in the area, please pick a route with no traffic","['car', 'need', 'go', 'back', 'home', ""'s"", 'area', 'please', 'pick', 'route', 'traffic']"
schedule,schedule a blood test,"['schedule', 'blood', 'test']"
weather,what is the weather forecast in the city,"['weather', 'forecast', 'city']"
navigate,Where does  my friend live?,"['where', 'friend', 'live']"
navigate,Car I need to reach my friends house in this local area: pick the route with the shortest distance too please,"['car', 'need', 'reach', 'friends', 'house', 'local', 'area', ':', 'pick', 'route', 'shortest', 'distance', 'please']"
weather,what's the weather going to be like for this week,"[""'s"", 'weather', 'go', 'like', 'week']"
navigate,find me chinese restaurants within 3 miles of my current location,"['find', 'chinese', 'restaurants', 'within', '3', 'miles', 'current', 'location']"
schedule,I would like to schedule a meeting at 5 PM on August 3rd with HR to discuss dress code.,"['would', 'like', 'schedule', 'meet', '5', 'pm', 'august', '3rd', 'hr', 'discuss', 'dress', 'code', '.']"
navigate,What is the rest stop with the quickest route nearby?,"['rest', 'stop', 'quickest', 'route', 'nearby']"
navigate,Find pizza.,"['find', 'pizza', '.']"
navigate,I need the quickest route to a shopping center. ,"['need', 'quickest', 'route', 'shop', 'center', '.']"
navigate,Please give me the address and directions via the fastest route to a pizza restaurant within 4 miles of me. ,"['please', 'give', 'address', 'directions', 'via', 'fastest', 'route', 'pizza', 'restaurant', 'within', '4', 'miles', '.']"
navigate,Find the address to my home in the local area.,"['find', 'address', 'home', 'local', 'area', '.']"
weather,give me the weekly weather forecast,"['give', 'weekly', 'weather', 'forecast']"
navigate,Quickly find me the closest chinese restaurant to my location.,"['quickly', 'find', 'closest', 'chinese', 'restaurant', 'location', '.']"
navigate,i need directions to the restaurant,"['need', 'directions', 'restaurant']"
schedule,What is the date of my lab appointment and who is coming with me .,"['date', 'lab', 'appointment', 'who', 'come', '.']"
navigate,give me directions to the local coffee shop,"['give', 'directions', 'local', 'coffee', 'shop']"
navigate,find directions to home,"['find', 'directions', 'home']"
schedule,When is my football activity and who is attending?,"['when', 'football', 'activity', 'who', 'attend']"
weather,what is the forecast in my city,"['forecast', 'city']"
weather,what will the weather be like in the city,"['weather', 'like', 'city']"
schedule,What time is the swimming party and who is attending?,"['time', 'swim', 'party', 'who', 'attend']"
navigate,What is the address for home? ,"['address', 'home']"
schedule,Reminder for optometrist. ,"['reminder', 'optometrist', '.']"
navigate,get me directions to the nearest coffee shop,"['get', 'directions', 'nearest', 'coffee', 'shop']"
navigate,show me directions to the nearest grocery store,"['show', 'directions', 'nearest', 'grocery', 'store']"
weather,is there a chance of snow in this weeks weather forecast,"['chance', 'snow', 'weeks', 'weather', 'forecast']"
navigate,find the nearest parking garage,"['find', 'nearest', 'park', 'garage']"
weather,what's the temperature,"[""'s"", 'temperature']"
schedule,What is the date and time of my optometrist appointment?,"['date', 'time', 'optometrist', 'appointment']"
schedule,Schedule a yoga activity with my father on the 3rd at 3 pm.,"['schedule', 'yoga', 'activity', 'father', '3rd', '3', 'pm', '.']"
schedule,Please schedule a reminder for my doctor appointment at 11am on August 3rd with Alex.,"['please', 'schedule', 'reminder', 'doctor', 'appointment', '11am', 'august', '3rd', 'alex', '.']"
schedule,"Remind me about a optometrist appointment on Tuesday at 2 pm, my sister will be coming","['remind', 'optometrist', 'appointment', 'tuesday', '2', 'pm', 'sister', 'come']"
weather,what is the weather like today,"['weather', 'like', 'today']"
schedule,schedule a meeting for monday the 1st,"['schedule', 'meet', 'monday', '1st']"
schedule,remind me i have a tennis match on the 12th,"['remind', 'tennis', 'match', '12th']"
weather,how warm is it outside right now,"['warm', 'outside', 'right']"
schedule,put my doctor's appointment on my calendar,"['put', 'doctor', ""'s"", 'appointment', 'calendar']"
schedule,i need to schedule a conference room,"['need', 'schedule', 'conference', 'room']"
schedule,what is the date location and time of my next conference,"['date', 'location', 'time', 'next', 'conference']"
schedule,Schedule a optometrist appointment on the 7th at 2 pm with Jon. ,"['schedule', 'optometrist', 'appointment', '7th', '2', 'pm', 'jon', '.']"
weather,check the weather for chances of snow,"['check', 'weather', 'chance', 'snow']"
navigate,give me the closest fast food restaurant,"['give', 'closest', 'fast', 'food', 'restaurant']"
navigate,Where are there Chinese restaurants around?,"['where', 'chinese', 'restaurants', 'around']"
navigate,Where can I get Chinese food?,"['where', 'get', 'chinese', 'food']"
navigate,tell me the best route to get home with the least amount of traffic,"['tell', 'best', 'route', 'get', 'home', 'least', 'amount', 'traffic']"
navigate,I need the closest parking garage. ,"['need', 'closest', 'park', 'garage', '.']"
navigate,please give me directions to a nearby parking garage parking lot,"['please', 'give', 'directions', 'nearby', 'park', 'garage', 'park', 'lot']"
weather,is it going to snow next week,"['go', 'snow', 'next', 'week']"
schedule,can you tell me the next day that i have an appointment with the eye doctor,"['tell', 'next', 'day', 'appointment', 'eye', 'doctor']"
schedule,When is my yoga?,"['when', 'yoga']"
weather,what will the temperature be for the next week,"['temperature', 'next', 'week']"
weather,Will it be warm in Grand Rapids on Saturday?,"['warm', 'grand', 'rapids', 'saturday']"
navigate,get me directions to the nearest chinese restaurant,"['get', 'directions', 'nearest', 'chinese', 'restaurant']"
navigate,Car I need to go to a grocery store,"['car', 'need', 'go', 'grocery', 'store']"
navigate,where's the nearest place to get lunch,"['where', ""'s"", 'nearest', 'place', 'get', 'lunch']"
schedule,check the date and time for my swim lesson,"['check', 'date', 'time', 'swim', 'lesson']"
schedule,Schedule a lab appointment at 6 pm on August 3. Alex is coming along,"['schedule', 'lab', 'appointment', '6', 'pm', 'august', '3.', 'alex', 'come', 'along']"
weather,what's the weather like in grand rapids,"[""'s"", 'weather', 'like', 'grand', 'rapids']"
schedule,when's my next scheduled yoga class,"['when', ""'s"", 'next', 'schedule', 'yoga', 'class']"
navigate,take me to the closest whole foods place i can buy groceries,"['take', 'closest', 'whole', 'foods', 'place', 'buy', 'groceries']"
schedule,Set an event for football game this week at 5pm with my brother. ,"['set', 'event', 'football', 'game', 'week', '5pm', 'brother', '.']"
weather,Is the weather overcast in grand rapids now?,"['weather', 'overcast', 'grand', 'rapids']"
schedule,Schedule a dentist appointment with Jeff for next Wednesday at 1pm.,"['schedule', 'dentist', 'appointment', 'jeff', 'next', 'wednesday', '1pm', '.']"
schedule,What is the date for my doctor appointment and who is attending?,"['date', 'doctor', 'appointment', 'who', 'attend']"
navigate,take me to the nearest grocery store,"['take', 'nearest', 'grocery', 'store']"
schedule,Schedule a reminder for football with Ana on the 15th of this month at 11am.,"['schedule', 'reminder', 'football', 'ana', '15th', 'month', '11am', '.']"
schedule,what time is my doctor's appointment,"['time', 'doctor', ""'s"", 'appointment']"
schedule,tell me when my dinner reservations are scheduled for,"['tell', 'when', 'dinner', 'reservations', 'schedule']"
schedule,What is the date and time for my dentist appointment?,"['date', 'time', 'dentist', 'appointment']"
navigate,I need to go home and avoid the heavy traffic. ,"['need', 'go', 'home', 'avoid', 'heavy', 'traffic', '.']"
schedule,Set a reminder for dinner at 3PM on Sunday with my aunt.,"['set', 'reminder', 'dinner', '3pm', 'sunday', 'aunt', '.']"
weather,find out if it's supposed to rain,"['find', ""'s"", 'suppose', 'rain']"
navigate,find the fastest direction to home,"['find', 'fastest', 'direction', 'home']"
weather,What is the highest temperature in Brentwood over the next two days?,"['highest', 'temperature', 'brentwood', 'next', 'two', 'days']"
schedule,Please set a reminder to take medicine at 7pm Tuesday with Ana.,"['please', 'set', 'reminder', 'take', 'medicine', '7pm', 'tuesday', 'ana', '.']"
weather,is it going to rain at all this upcoming week,"['go', 'rain', 'upcoming', 'week']"
weather,Will it be windy in Corona on Wednesday?,"['windy', 'corona', 'wednesday']"
navigate,please give me directions to a nearby parking garage parking lot,"['please', 'give', 'directions', 'nearby', 'park', 'garage', 'park', 'lot']"
schedule,What time is my tennis match and who is it with? ,"['time', 'tennis', 'match', 'who']"
weather,Will it be dry in Durham today?,"['dry', 'durham', 'today']"
weather,Is there any dew in the forecast over the next few days in Durham?,"['dew', 'forecast', 'next', 'days', 'durham']"
navigate,Where can I get groceries?,"['where', 'get', 'groceries']"
schedule,Schedule a football activity at 10 am on the 29th with my aunt.,"['schedule', 'football', 'activity', '10', '29th', 'aunt', '.']"
navigate,where is the closest grocery store,"['where', 'closest', 'grocery', 'store']"
schedule,schedule my tennis class,"['schedule', 'tennis', 'class']"
weather,what is the weather forecast for the next 7 days,"['weather', 'forecast', 'next', '7', 'days']"
weather,what's the weekly weather report for the city,"[""'s"", 'weekly', 'weather', 'report', 'city']"
schedule,"Can you please find me the time, date, and what is planned for the next meeting I have scheduled in my calendar?","['please', 'find', 'time', 'date', 'plan', 'next', 'meet', 'schedule', 'calendar']"
weather,Will it drizzle in Redwood City on Tuesday?,"['drizzle', 'redwood', 'city', 'tuesday']"
schedule,"Set a reminder for my dentist appointment tomorrow at 9 am, with Tom","['set', 'reminder', 'dentist', 'appointment', 'tomorrow', '9', 'tom']"
schedule,tell me the time of today's football game,"['tell', 'time', 'today', ""'s"", 'football', 'game']"
schedule,find out when my next conferences,"['find', 'when', 'next', 'conferences']"
weather,Over the next few days in camarillo will there be any rain?,"['next', 'days', 'camarillo', 'rain']"
schedule,What time is the doctors appointment and who is attending?,"['time', 'doctor', 'appointment', 'who', 'attend']"
weather,what is the forecast in my city,"['forecast', 'city']"
weather,what is the weather for next week,"['weather', 'next', 'week']"
schedule,Can you find out the parties attending and time for my optometrist appointment? ,"['find', 'party', 'attend', 'time', 'optometrist', 'appointment']"
schedule,Schedule a conference with the executive team at 5 pm on the 6th .,"['schedule', 'conference', 'executive', 'team', '5', 'pm', '6th', '.']"
schedule,what time is the group meeting,"['time', 'group', 'meet']"
schedule,Please give me information about my conference. ,"['please', 'give', 'information', 'conference', '.']"
navigate,where can i find tea around me,"['where', 'find', 'tea', 'around']"
schedule,tell me the time and date that my next tennis game is scheduled at,"['tell', 'time', 'date', 'next', 'tennis', 'game', 'schedule']"
navigate,find a tea shop,"['find', 'tea', 'shop']"
schedule,What time is my tennis activity and who is attending?,"['time', 'tennis', 'activity', 'who', 'attend']"
schedule,"Set a reminder about the meeting at 4 pm this week with the sales team, to discuss the company picnic","['set', 'reminder', 'meet', '4', 'pm', 'week', 'sales', 'team', 'discuss', 'company', 'picnic']"
schedule,Schedule a swimming activity at 11am today with my father.,"['schedule', 'swim', 'activity', '11am', 'today', 'father', '.']"
navigate,Please give me an address and directions by the fastest route to a rest stop nearby. ,"['please', 'give', 'address', 'directions', 'fastest', 'route', 'rest', 'stop', 'nearby', '.']"
navigate,Get me the address to the hospital asap.,"['get', 'address', 'hospital', 'asap', '.']"
navigate,Where is the parking garage in the area?,"['where', 'park', 'garage', 'area']"
weather,check today's forecast for rain,"['check', 'today', ""'s"", 'forecast', 'rain']"
schedule,when am i taking my medicine,"['when', 'take', 'medicine']"
navigate,send me to the nearest gas station,"['send', 'nearest', 'gas', 'station']"
navigate,Need a gas station nearest me will little traffic.,"['need', 'gas', 'station', 'nearest', 'little', 'traffic', '.']"
navigate,I need a hospital within 5 miles of me and the quickest route please.,"['need', 'hospital', 'within', '5', 'miles', 'quickest', 'route', 'please', '.']"
schedule,what time is my yoga appointment,"['time', 'yoga', 'appointment']"
navigate,Where can I get groceries?,"['where', 'get', 'groceries']"
navigate,find nearest chinese restaurant,"['find', 'nearest', 'chinese', 'restaurant']"
schedule,add meeting in conference room 102 the calendar,"['add', 'meet', 'conference', 'room', '102', 'calendar']"
schedule,Schedule a lab appointment with my aunt for the 7th at 1pm.,"['schedule', 'lab', 'appointment', 'aunt', '7th', '1pm', '.']"
navigate,directions to the grocery store,"['directions', 'grocery', 'store']"
schedule,Set a reminder that I have a lab appointment with my aunt next Wednesday at 1pm,"['set', 'reminder', 'lab', 'appointment', 'aunt', 'next', 'wednesday', '1pm']"
schedule,remind me about dinner tonight,"['remind', 'dinner', 'tonight']"
weather,Will it be cloudy in Manhattan today and tomorrow?,"['cloudy', 'manhattan', 'today', 'tomorrow']"
weather,what's the weather like,"[""'s"", 'weather', 'like']"
schedule,When is the football event and who is attending?,"['when', 'football', 'event', 'who', 'attend']"
schedule,What date is my football activity and who is attending?,"['date', 'football', 'activity', 'who', 'attend']"
schedule,Schedule a conference at 1 pm with management. ,"['schedule', 'conference', '1', 'pm', 'management', '.']"
weather,show me this week's forecast,"['show', 'week', ""'s"", 'forecast']"
weather,On monday will there be a blizzard in boston?,"['monday', 'blizzard', 'boston']"
navigate,Car I need a quick route to a Hospital in the area,"['car', 'need', 'quick', 'route', 'hospital', 'area']"
weather,What will be the lowest temperature in grand rapids over the next seven days?,"['lowest', 'temperature', 'grand', 'rapids', 'next', 'seven', 'days']"
navigate,Take me home. ,"['take', 'home', '.']"
weather,what is the forecast for today and tomorrow,"['forecast', 'today', 'tomorrow']"
navigate,take me home,"['take', 'home']"
weather,check today's weather,"['check', 'today', ""'s"", 'weather']"
navigate,navigate me to the nearest hotel,"['navigate', 'nearest', 'hotel']"
navigate,directions to local hotel,"['directions', 'local', 'hotel']"
schedule,When is my swimming activity and who is attending?,"['when', 'swim', 'activity', 'who', 'attend']"
weather,how's the weather in new york,"[""'s"", 'weather', 'new', 'york']"
schedule,please make an appointment on tuesday for me to see the doctor,"['please', 'make', 'appointment', 'tuesday', 'see', 'doctor']"
navigate,Where is my home?,"['where', 'home']"
schedule,What time and date is my doctor appointment?,"['time', 'date', 'doctor', 'appointment']"
schedule,What is the date and time for dinner?,"['date', 'time', 'dinner']"
weather,Will it be windy in Cleveland Thursday?,"['windy', 'cleveland', 'thursday']"
navigate,Can you give me the address and the quickest route directions to a gas station within two miles of here?,"['give', 'address', 'quickest', 'route', 'directions', 'gas', 'station', 'within', 'two', 'miles']"
navigate,Car please give me the address of a good pizza restaurant in the shortest possible distance,"['car', 'please', 'give', 'address', 'good', 'pizza', 'restaurant', 'shortest', 'possible', 'distance']"
schedule,set reminder for dinner,"['set', 'reminder', 'dinner']"
weather,what is the temperature for the next 7 days weather forecast,"['temperature', 'next', '7', 'days', 'weather', 'forecast']"
navigate,give me directions to the nearest coffee place,"['give', 'directions', 'nearest', 'coffee', 'place']"
weather,what's the temperature going to be like today and tomorrow,"[""'s"", 'temperature', 'go', 'like', 'today', 'tomorrow']"
weather,what will the weather be like in the city,"['weather', 'like', 'city']"
schedule,set up a group meeting at the conference room for next week,"['set', 'group', 'meet', 'conference', 'room', 'next', 'week']"
navigate,Where does my friend live?,"['where', 'friend', 'live']"
schedule,What is the date of my next dentist appointment and who will be attending it with me?,"['date', 'next', 'dentist', 'appointment', 'who', 'attend']"
navigate,get me directions to the grocery store,"['get', 'directions', 'grocery', 'store']"
navigate,Where can I go shopping?,"['where', 'go', 'shop']"
navigate,show the route to my friend's house,"['show', 'route', 'friend', ""'s"", 'house']"
navigate,Where can I get Chinese food?,"['where', 'get', 'chinese', 'food']"
weather,Is it gonna be hot in Atherton today and tomorrow?,"['gon', 'na', 'hot', 'atherton', 'today', 'tomorrow']"
weather,Is it gonna be dry in Carson on Sunday?,"['gon', 'na', 'dry', 'carson', 'sunday']"
navigate,I need groceries.,"['need', 'groceries', '.']"
weather,what is the current temperature,"['current', 'temperature']"
weather,Will it be misty in San Jose today and tomorrow?,"['misty', 'san', 'jose', 'today', 'tomorrow']"
weather,What will the weather in Fresno be in the next 48 hours?,"['weather', 'fresno', 'next', '48', 'hours']"
navigate,how long to the nearest grocery store,"['long', 'nearest', 'grocery', 'store']"
weather,please let me know the weather forecast for tomorrow,"['please', 'let', 'know', 'weather', 'forecast', 'tomorrow']"
weather,is it going to be hot on friday,"['go', 'hot', 'friday']"
schedule,Schedule a optometrist appointment with my sister next week at 10am.,"['schedule', 'optometrist', 'appointment', 'sister', 'next', 'week', '10am', '.']"
weather,Will there be clear skies in San Francisco on Friday?,"['clear', 'sky', 'san', 'francisco', 'friday']"
navigate,find me the nearest grocery store,"['find', 'nearest', 'grocery', 'store']"
weather,What's the weather forecast in San Francisco for the next two days?,"[""'s"", 'weather', 'forecast', 'san', 'francisco', 'next', 'two', 'days']"
navigate,where can i go to eat,"['where', 'go', 'eat']"
schedule,Please give me all relevant information about my meeting. ,"['please', 'give', 'relevant', 'information', 'meet', '.']"
schedule,Schedule Yoga with Marie at 4pm on the 5th of this month,"['schedule', 'yoga', 'marie', '4pm', '5th', 'month']"
navigate,Find the nearest gas station near my location.,"['find', 'nearest', 'gas', 'station', 'near', 'location', '.']"
navigate,give me a quick route to a grocery store,"['give', 'quick', 'route', 'grocery', 'store']"
navigate,Find a chinese take-out spot near my location.,"['find', 'chinese', 'take-out', 'spot', 'near', 'location', '.']"
schedule,i know what time my doctor's appointment is,"['know', 'time', 'doctor', ""'s"", 'appointment']"
navigate,Where is the nearest rest stop?,"['where', 'nearest', 'rest', 'stop']"
schedule,remind me about the football game,"['remind', 'football', 'game']"
weather,will it be cloudy,['cloudy']
schedule,I need a reminder set for my lab appointment at 5pm today. Jeff is joining. ,"['need', 'reminder', 'set', 'lab', 'appointment', '5pm', 'today', '.', 'jeff', 'join', '.']"
schedule,"What is the date of my meeting, who will be there, and what time does it start?","['date', 'meet', 'who', 'time', 'start']"
schedule,"What is the location and time of the meeting, and who is attending?","['location', 'time', 'meet', 'who', 'attend']"
weather,Will there be cloudy weather in Atherton in the next 7 days?,"['cloudy', 'weather', 'atherton', 'next', '7', 'days']"
weather,start listening what will be the weather for the week,"['start', 'listen', 'weather', 'week']"
schedule,Set a reminder for dinner at 10am on the 22nd with my aunt. ,"['set', 'reminder', 'dinner', '10am', '22nd', 'aunt', '.']"
schedule,Schedule a reminder about a doctor appointment with my mother at 11am on the 7th of this month.,"['schedule', 'reminder', 'doctor', 'appointment', 'mother', '11am', '7th', 'month', '.']"
schedule,"Hello, can you set the schedule for an Optometrist appointment at 10am, on Thursday, with Marie, please and thank you. ","['hello', 'set', 'schedule', 'optometrist', 'appointment', '10am', 'thursday', 'marie', 'please', 'thank', '.']"
