category,text
schedule,What time is my tennis activity and who is attending?
schedule,"Set a reminder about the meeting at 4 pm this week with the sales team, to discuss the company picnic"
schedule,Schedule a swimming activity at 11am today with my father.
navigate,Please give me an address and directions by the fastest route to a rest stop nearby. 
navigate,Get me the address to the hospital asap.
navigate,Where is the parking garage in the area?
weather,check today's forecast for rain
schedule,when am i taking my medicine
navigate,send me to the nearest gas station
navigate,Need a gas station nearest me will little traffic.
navigate,I need a hospital within 5 miles of me and the quickest route please.
schedule,what time is my yoga appointment
navigate,Where can I get groceries?
navigate,find nearest chinese restaurant
schedule,add meeting in conference room 102 the calendar
schedule,Schedule a lab appointment with my aunt for the 7th at 1pm.
navigate,directions to the grocery store
schedule,Set a reminder that I have a lab appointment with my aunt next Wednesday at 1pm
schedule,remind me about dinner tonight
weather,Will it be cloudy in Manhattan today and tomorrow?
weather,what's the weather like
schedule,When is the football event and who is attending?
schedule,What date is my football activity and who is attending?
schedule,Schedule a conference at 1 pm with management. 
weather,show me this week's forecast
weather,On monday will there be a blizzard in boston?
navigate,Car I need a quick route to a Hospital in the area
weather,What will be the lowest temperature in grand rapids over the next seven days?
navigate,Take me home. 
weather,what is the forecast for today and tomorrow
navigate,take me home
weather,check today's weather
navigate,navigate me to the nearest hotel
navigate,directions to local hotel
schedule,When is my swimming activity and who is attending?
weather,how's the weather in new york
schedule,please make an appointment on tuesday for me to see the doctor
navigate,Where is my home?
schedule,What time and date is my doctor appointment?
schedule,What is the date and time for dinner?
weather,Will it be windy in Cleveland Thursday?
navigate,Can you give me the address and the quickest route directions to a gas station within two miles of here?
navigate,Car please give me the address of a good pizza restaurant in the shortest possible distance
schedule,set reminder for dinner
weather,what is the temperature for the next 7 days weather forecast
navigate,give me directions to the nearest coffee place
weather,what's the temperature going to be like today and tomorrow
weather,what will the weather be like in the city
schedule,set up a group meeting at the conference room for next week
navigate,Where does my friend live?
schedule,What is the date of my next dentist appointment and who will be attending it with me?
navigate,get me directions to the grocery store
navigate,Where can I go shopping?
navigate,show the route to my friend's house
navigate,Where can I get Chinese food?
weather,Is it gonna be hot in Atherton today and tomorrow?
weather,Is it gonna be dry in Carson on Sunday?
navigate,I need groceries.
weather,what is the current temperature
weather,Will it be misty in San Jose today and tomorrow?
weather,What will the weather in Fresno be in the next 48 hours?
navigate,how long to the nearest grocery store
weather,please let me know the weather forecast for tomorrow
weather,is it going to be hot on friday
schedule,Schedule a optometrist appointment with my sister next week at 10am.
weather,Will there be clear skies in San Francisco on Friday?
navigate,find me the nearest grocery store
weather,What's the weather forecast in San Francisco for the next two days?
navigate,where can i go to eat
schedule,Please give me all relevant information about my meeting. 
schedule,Schedule Yoga with Marie at 4pm on the 5th of this month
navigate,Find the nearest gas station near my location.
navigate,give me a quick route to a grocery store
navigate,Find a chinese take-out spot near my location.
schedule,i know what time my doctor's appointment is
navigate,Where is the nearest rest stop?
schedule,remind me about the football game
weather,will it be cloudy
schedule,I need a reminder set for my lab appointment at 5pm today. Jeff is joining. 
schedule,"What is the date of my meeting, who will be there, and what time does it start?"
schedule,"What is the location and time of the meeting, and who is attending?"
weather,Will there be cloudy weather in Atherton in the next 7 days?
weather,start listening what will be the weather for the week
schedule,Set a reminder for dinner at 10am on the 22nd with my aunt. 
schedule,Schedule a reminder about a doctor appointment with my mother at 11am on the 7th of this month.
schedule,"Hello, can you set the schedule for an Optometrist appointment at 10am, on Thursday, with Marie, please and thank you. "
navigate,"I'm kind of hungry, locate a pizza shop."
weather,what is the forecast for the city this week
weather,Will it be windy tomorrow in Atherton?
schedule,when is my lab appointment
navigate,I need the fastest route to a rest stop. 
weather,you tell me if the forecast for the next week calls for it to be above 86 degrees on any day
weather,what's the weather like in downtown chicago
schedule,What time is my next football activity and who will be attending?
navigate,find the nearest restaurant with chinese take-out
weather,Find what the temperature will be in downtown Chicago this weekend.
navigate,give me the location for the nearest starbucks
weather,how hot is it going to be this week
weather,car what is the weather going to be like in the next several days
schedule,What time is my tennis activity and who will be attending it?
weather,what's the seven day forecast for new york city
schedule,i need to schedule a conference room
navigate,is there any traffic on the route home
schedule,add tomorrow night's football game to my calendar for 9 pm
navigate,Find my home address near my location.
weather,what is today's weather forecast
schedule,remind me about the date and time that he was going to be there and what the agenda is for his business meaning
weather,is it going to be raining this weekend
schedule,Please schedule me an optometrist appointment at 2pm this week with Jon.
schedule,in which day do i have doctor's appointment
schedule,when is my doctor's appointment
weather,Is it going to be humid in Danville on Saturday?
navigate,Where is the closest hospital?
schedule,Schedule a reminder to take medicine with my aunt on the 10th at 1pm.
navigate,show me directions to the nearest mall
schedule,"please set a conference reminder. I need it at 10 am, the tenth, with my vice president. "
navigate,show me the way to some chinese food
navigate,give me directions to my house
schedule,what time is the meeting
weather,Look at the seven day forecast and see if it will be hot in oakland
weather,is it going to rain sometime this week
schedule,set doctor's appointment for next week
navigate,Car I need to get to a shopping center: please pick the quickest one around here
schedule,When is my dentist appointment and who is coming?
weather,what's the forecast going to be for today and tomorrow
weather,can you give me the weather this week for new york city
schedule,I need to know the agenda for my meeting as well as who is attending and the location. 
navigate,i have to go grocery shopping can you give me directions to the nearest grocery store
weather,what is the weather
weather,find out if it's supposed to rain
navigate,get directions to the nearest parking garage
schedule,when am i playing tennis
schedule,"Where is my meeting, which parties will be attending, and what is the meeting about?"
weather,Will it be misty in Alameda next week?
navigate,Where do I live?
weather,Will it be raining this week in Redwood City?
weather,Is it raining in grand rapids currently?
navigate,Car there should be my friends house around here: do you see it on the map?
schedule,set a reminder to see my dentist at 12 pm tomorrow
navigate,"Car I'd like to have some coffee, please show me the closest cafe"
schedule,"Can you schedule a conference at 4pm, the 12th of this month with the vice president?"
weather,Will it be clear in San Mateo on Wednesday?
schedule,set a reminder to go to conference room 104 the meeting on the 12th
navigate,What is my address?
weather,Which one is gonna be the lowest temperature in Brentwood on Saturday?
navigate,"Car please bring me to my friends house, it should be near me"
schedule,what is the date of my next yoga class
schedule,can you check the time and date of my dinner?
navigate,Is there a Philz here?
navigate,where is the nearest hotel
navigate,Where can I get some tea?
weather,will it rain this week
weather,it's going to be raining so i have to drive slow
schedule,"Remind me about my doctor's appointment at 1pm on thursday, with Tom"
navigate,I need to find the closest hospital. 
schedule,What time is my lab appointment and who is attending?
weather,Is it going to rain in Exeter over the next few days?
schedule,remind me to swim tomorrow
weather,is it going to snow this week
navigate,give me directions to the nearest grocery store
weather,what is the weather going to be today and tomorrow
schedule,Set a reminder for my football activity today at 1pm with Jon.
navigate,show me the nearby hospital
schedule,set a reminder for lab work on the 12th
schedule,I need to find out the date and whoever is attending my lab appointment. 
navigate,Please give me the address and quickest route directions to the nearest gas station. 
navigate,Find me Chinese food.
navigate,i'm not feeling well show me the fastest route to the nearest hospital
weather,Will it be cloudy in Inglewood next week?
schedule,I have a lab appointment with Alex at 2 at the end of March
schedule,schedule a new meeting
weather,show me the weather for the next 7 days
navigate,Where is the nearby grocery store?
weather,is it going to rain sometime this week
navigate,Where can I go shopping?
schedule,set a reminder on the 12th to refill my prescription
schedule,What time is my optometrist appointment and who is attending?
navigate,find me a nearby coffee shop where i can sit and have some coffee
schedule,Set a reminder for me to take my medicine at 9am on Sunday with by brother Frank.
weather,is it going to be cloudy in the next 7 days
schedule,"Car, find out the time and parties attending for my tennis activity. "
navigate,i'm not feeling well show me the fastest route to the nearest hospital
navigate,what are the directions to the mall
weather,check today's weather
navigate,find directions to the nearest starbucks
weather,give me the weekly weather forecast
schedule,set reminder for yoga classes on the 12th of this month
navigate,What is the nearby hospital?
schedule,Schedule dinner with my father at 4 pm on Monday the 1st. 
weather,This week will it be warm in Los Angeles?
navigate,Where can I get groceries?
weather,what is the weather like in boston
schedule,check calendar for when my doctor's appointment is
weather,Will there be a blizzard in Seattle over the next 7 days?
navigate,need directions to the nearest hotel
weather,Is it going to be foggy in Camarillo this weekend?
weather,In the next 48 hours will it rain in alhambra?
schedule,What is the date and time of my next swimming activity?
weather,Will it be humid in Inglewood during the next few days?
schedule,when is my next meeting
schedule,Remind me that next week at 5pm I have tennis with Jon.
navigate,search for nearby starbucks
weather,what is the temperature going to be like this week
navigate,Car I need a pizza restaurant to satisfy my hunger: is there any in the area?
navigate,I need to find a grocery store.
navigate,I want pizza/
navigate,Please get me to a gas station asap. 
navigate,I need a shopping center within 2 miles.
weather,Will there be and dew this week in Inglewood?
schedule,"Can you set my schedule for a dentist appointment at 10 am, the 15th of this month with Jon?"
schedule,please tell me about the time and date my next meeting is scheduled for and what i hope to accomplish it
weather,check the weather for the 7 day forecast
schedule,Tell me when i'm going swimming
navigate,give me directions to my friends house
schedule,Please remind me to take my medicine at 7 pm today with my mother.
schedule,"What is the date, location, and agenda of my next conference?"
navigate,i'm looking for a place to eat can you show me directions to the nearest fast food restaurant
weather,what is the weather in new york city
navigate,find me parking garages
schedule,Schedule a yoga activity with Martha for the 4th at 10am.
schedule,remind me that i have a doctors appointment at 5 pm
schedule,Schedule a doctor appointment with Alex for the 29th at 11am.
schedule,What time is my lab appointment and what parties are attending?
weather,it's going to be raining so i have to drive slow
navigate,Car I need a hotel to get some sleep: is there any in the local area?
navigate,search for nearby cafe
navigate,Where can I find a parking garage?
weather,what is the weather for today
weather,what is the weather like in boston
weather,will it rain this week
navigate,tell me how to get to shopping mall
weather,will it rain this week
schedule,remind me what's planned for the meeting today
navigate,Where can I get Chinese food?
navigate,navigate to my friend's home please
navigate,Any pizza close?
schedule,set a reminder for lab work on the 12th
schedule,Set an optometrist appointment for 3pm on the 15th of this month with my aunt
weather,give me the weather for next week
navigate,navigate to the nearest hotel
weather,is snow forecasted this week
navigate,can you give me directions to the grocery store
navigate,please give me directions to 5677 springer street
weather,is the weather cloudy right now
navigate,Car I'm desiring to have pizza!
weather,will it rain anytime in the next week
weather,what is the weather like in new york this week
weather,get me the weather report for this week
schedule,tell me what day and time i scheduled my blood test for this month
navigate,Are there shopping centers nearby?
navigate,Please give me an address and directions via the fastest route to a shopping center. 
navigate,how many hotels are around here
navigate,"I wanna go to my friends' house, it should be nearby, can you show me their position on the map?"
navigate,give me directions to a coffee shop
weather,please let me know the weather forecast for tomorrow
schedule,set a reminder for my yoga class at 10 in the morning tomorrow
schedule,Schedule a conference with the boss for this month on the 5th at 1pm.
schedule,I would like to know who is attending my meeting and when it is. 
schedule,"Where is the meeting and when is it, also who is attending?"
navigate,i need directions to a local fast food restaurant please
navigate,Are there any Chinese places I can get to with no traffic within 5 miles of here?
weather,Check the next 48 hours and tell me is alameda will be misty.
navigate,show me the direction to the closest mall
weather,Will there be rain in Durham this upcoming week?
navigate,"Car I need the address of a parking garage near me, please help me!"
schedule,What's the time and date for the soonest yoga session?
schedule,Remind me at 4pm next Wednesday about my conference with the sales team.
weather,Is it raining today in Grand Rapids?
schedule,"assistant schedule an appointment at the dentist, 9am of the 12th of current month. bring Martha with me"
weather,are there clear skies in the forecast today
weather,give me weather forecast for today
navigate,I need a hospital within 3 miles. 
schedule,"Good morning car, I'd like to schedule a conference at 7pm, next Wednesday with HR please. "
navigate,bring me to the nearest grocery store
weather,check forecast for today and tomorrow
schedule,can you schedule in my dentist appointment today
navigate,I need a route to my friends that avoids heavy traffic. 
weather,what's the weather like in downtown chicago
schedule,Who is attending the swimming activity and what date is it?
weather,On what day will be the lowest temperature this weekend in compton?
navigate,Please give me the address and directions to my friend's house by the fastest possible route without heavy traffic.
navigate,take me to the nearest cafe
navigate,please give me a list of hotels that are near me in the direction
navigate,show me the route to coffee shop
schedule,What date is my tennis activity and who is attending?
weather,Will it be cloudy in New York on Thursday?
weather,is there any rain in the local forecast
schedule,can you set a reminder for a yoga activity at 2pm on the 1st
schedule,i need to schedule a meeting
navigate,Where can I get groceries?
weather,what is the chance of rain next week
schedule,I need the time and parties for taking medicine please.
navigate,directions to nearest barista
schedule,remind me i have a doctors appointment on the 12th at 5 pm
schedule,Schedule a doctor appointment with my brother on Monday August 8th at 5pm.
navigate,Car I desire to eat in some good pizza restaurant: which one is the nearest?
schedule,remind me i have a doctors appointment on the 12th at 5 pm
schedule,what time is my appointment today
weather,what's the temperature for today
schedule,Schedule a football game on tuesday at 6pm with Marie
weather,car what is the temperature going to be today and tomorrow
schedule,I have a doctor appointment next month on the 13th at 11 am with Tom. Please set a reminder. 
weather,Check the next 48 hours and tell me if it's supposed to be stormy in San Francisco
weather,what's the temperature going to be like on friday
weather,what's the forecast for the weather today
navigate,Where does my friend live?
weather,Which one is gonna be the highest temperature tomorrow in Durham?
schedule,What is the date of my next tennis activity and who will be attending?
navigate,directions to the mall
weather,check the weather for today
schedule,"Car, find the date and time for my Tennis activity."
schedule,Looking for the day and people attending my lab appointment. 
schedule,Schedule an appointment at 5PM at the end of March with Tom.
weather,what's the weather like in grand rapids
schedule,Schedule swimming. 
navigate,give me directions to nearest mall
schedule,What is the date of my next medicine event and who will be attending?
schedule,Set a reminder for an optometrist appointment with jeff later this week at 3pm
schedule,remind me about that meeting later
schedule,set a reminder
navigate,"I need a grocery store near me, with no traffic."
weather,what's the weather like
navigate,"Car I'd like to eat pizza, please pick come restaurant within 3 miles and send the quickest route on screen"
weather,will it be raining in the next 7 days
navigate,Where is the closest Chinese restaurant?
navigate,give me directions to my friends house
schedule,show me what time i need to take my pills
weather,is it going to rain in the next few days tell me when
schedule,"Schedule a reminder for my tennis activity at 6pm, the tenth with father. "
navigate,What is a quick route home?
navigate,tell me the closest place to get a cup of hot tea
navigate,Find me a place where i could have some coffee.
navigate,give me directions to my house
weather,check forecast for today and tomorrow
schedule,find out what time my eye doctor appointment is
schedule,"Set a reminder for an optometrist appointment at 4pm, August 3rd. Make sure my Aunt is there."
schedule,on my calendar set a time for tennis at 12 pm
schedule,Schedule a swimming activity with my brother on August 22nd at 2pm.
weather,Will there be frost in Alameda tomorrow?
schedule,I need to schedule a Doctor's appointment. 
weather,Look at today and tomorrow's forecast and tell me if there will be a blizzard in mountain view
schedule,put on my calendar that i need to get my lab results this thursday at 3:30
navigate,give me directions to the nearest parking garage
schedule,when am i scheduled for tennis lessons
navigate,Need a coffee place within 4 miles with the quickest route.
weather,car is it going to snow today
schedule,what is the date and time of the conference
schedule,When is my swimming activity and who is attending?
schedule,What day is the swimming party and who will be attending?
schedule,what day and time did i schedule my blood test for
weather,find weekly weather forecast
navigate,I need the quickest route to a rest stop. I am so tired.
schedule,"Car, schedule a conference at 1pm today with the infrastructure team. "
navigate,Locate my friends address for me.
schedule,Set a reminder for tennis at 2 pm with Tom next month on the 13th.
navigate,Where can I get pizza?
weather,what is the current temperature
schedule,what is on my schedule today
navigate,"Car I need a parking garage in the area, please find something for me"
schedule,What is the date and time of my next optometrist appointment?
schedule,Set a reminder to take medicine at 10am on the 11th with my brother
schedule,What time is my next dinner event and who will be attending?
navigate,I need a route to the shopping center with no traffic. 
navigate,"Car I need a parking garage in the shortest distance, please help me!"
weather,tell me how hot it's going to be in the forecast for the weather
navigate,What grocery stores are here?
weather,what is the weather is it going to rain
weather,Will it be snowing in Mount View over the next 2 days?
schedule,i have a dentist appointment on the 12th of this month
navigate,Local chinese restaurant is needed pronto.
navigate,give me directions to the nearest shopping center
weather,what's the weather like on my drive today
schedule,Schedule a conference at 6 pm on the tenth with sales team.
weather,how's the weather in new york
navigate,get directions to home
weather,is it going to be cloudy this week
navigate,Find a shopping mall that i can get to with the least amount of traffic.
schedule,set an alarm for the football game
schedule,Schedule a conference with the executive team for the 15th of this month at 9am.
schedule,Set a reminder that I have a lab appointment with Tom at 4pm on the 5th of this month
weather,Will it be overcast in San Mateo over the next 48 hours?
weather,what's the forecast report
schedule,Hello car. Hi I want to find out the time and the parties attending my lab appointment please. 
schedule,Schedule a tennis match for 3pm this week with Jeff.
weather,Will it be misty in Alhambra on Monday?
weather,will it rain next week
weather,Will it be foggy on Tuesday in Redwood City?
navigate,give me directions to starbucks
navigate,Where is a nearby rest stop?
weather,Will it be overcast in Boston on Saturday?
weather,what is the weather today in tomorrow
weather,what's the weather going to be like this week
schedule,remind me about the conference tomorrow at 12 pm in conference room 100
weather,what's the weather like today and tomorrow
schedule,schedule meeting
navigate,take me to the mall to buy some clothes
schedule,"What time is my yoga class, and who all will be there?"
navigate,Where is the closest shopping center?
navigate,give me a location to a local parking lot
schedule,Set a reminder for me for the meeting next week at 5pm with my boss in which we will go over the budget.
schedule,when am i supposed to swim tomorrow
navigate,give me directions to the closest grocery store
schedule,"Set a reminder for my lab appointment at 2pm, this Tuesday with father. "
schedule,i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3
schedule,Can you look up the what time my football game is this week?
weather,Will it be dry in New York on Wednesday?
weather,Will it be foggy in brentwood on friday?
schedule,Remind me about the football activity at 4pm on the 13th with Tom
weather,what is the weather is it going to rain
weather,what is the weather forecast for the weekend
weather,what's the weather forecast in new york
navigate,Can I find a chinese restaurant?
schedule,schedule a doctors appointment on the 12th
weather,Will it drizzle in Los Angeles today?
weather,Will it be windy in redwood city today?
schedule,car set up appointment for the 12th for my doctor on the calendar
navigate,Where does my friend live?
schedule,Schedule a dentist appointment on the 8th at 1 pm. Ana will be joining you.
navigate,Where can I go shopping?
navigate,Please give me the address and directions via a route with no traffic to a nearby grocery store. 
weather,Will it drizzle in Camarillo tomorrow?
weather,what is the forecast for this week
schedule,car what is the date and time of my next appointment with my optometrist
weather,is it going to snow next week
weather,what is the forecast for the rest of the day
weather,Will it rain in Chicago next week?
schedule,What day is my lab appointment and who is coming with? 
navigate,Can you find me the fastest route to a pizza restaurant?
navigate,I need groceries.
weather,what is the temperature
navigate,where is a restaurant
navigate,Please give me the address and directions via the quickest route to the nearest gas station. 
navigate,find me a nearby shopping mall shopping center
schedule,Schedule meeting. 
weather,what's the weather like in new york city
navigate,I need the quickest route to the hospital. 
weather,Will it be humid in exeter tomorrow?
weather,Will the weather be warm tomorrow in Los Angeles?
weather,please show me the weekly weather report
weather,tell me what the temperature will be like for the next week
schedule,what's on the agenda for today's meeting
navigate,Get the address to a chinese restaurant that i could get to the quickest.
weather,show me the weather for the next 7 days
schedule,Schedule a football activity with my aunt on the 5th at 4pm.
weather,what is the temperature
schedule,"I need you to set a schedule for a meeting at 3pm, the 5th with vice president to onboard new members"
navigate,Quickest route to my friends house.
navigate,Can you find me the closest hospital to me?
navigate,show me the nearest shopping mall
schedule,What day is the football activity and who is coming?
navigate,Where can I get Chinese food?
weather,is it supposed to rain this week
navigate,Get me the address of a chinese restaurant around this area.
schedule,When is my optometrist appointment? 
navigate,Can you find me the nearest pizza restaurant?
schedule,what is the agenda of my meeting today
schedule,Schedule swimming tomorrow at 2 with my brother
navigate,get me directions to the closest starbucks
weather,what is the local weather forecast for this week
navigate,give me directions to the local starbucks
navigate,where's the nearest place to get lunch
navigate,Where is there a pizza place near me?
weather,what is the weather going to be like tomorrow show me the 7 day forecast
navigate,I want pizza.
weather,please show me the weekly weather report
navigate,What is the address of my house?
weather,check the weather for today
weather,what will the weather be like in the city
schedule,What time is my doctor appointment and who is attending?
navigate,Where does my friend live?
weather,Will there be rain in the forecast for Cleveland for the next 7 days?
schedule,Schedule tennis for 10am on the tenth with Tom
weather,how cloudy is it going to be for the next week
weather,Is it gonna be foggy in Exeter on next week?
schedule,can you set a reminder that i have a dinner at 7pm with Marie
